代码,名称,交易所,板块,行业,地域板块,概念题材,是否ST,日K开始日期,日K结束日期,日K行数,训练可用行数,训练可用率
603068,博通集成,上交所,沪市主板,半导体,上海板块,"物联网,北斗导航,上海自贸,阿里概念,无人机,无人驾驶,小米概念,华为概念,ETC,国产芯片,无线耳机,WiFi,半导体概念,汽车芯片,消费电子概念,通信技术",0,2023-05-26,2026-05-25,724,692,0.9558
603072,天和磁材,上交所,沪市主板,金属新材料,内蒙古,"新材料,稀土永磁,小金属概念,机器人概念",0,2025-01-03,2026-05-25,333,321,0.964
603082,北自科技,上交所,沪市主板,自动化设备,北京板块,"军工,央国企改革,国产软件,数字孪生,机器人概念,新型工业化",0,2024-01-30,2026-05-26,552,531,0.962
603099,长白山,上交所,沪市主板,旅游及景区,吉林板块,"旅游酒店,央国企改革,冰雪经济",0,2023-05-26,2026-05-25,724,687,0.9489
603127,昭衍新药,上交所,沪市主板,医疗服务,北京板块,"生物疫苗,CRO,创新药,创新医疗服务",0,2023-05-26,2026-05-25,724,695,0.9599
603173,福斯达,上交所,沪市主板,专用设备,浙江板块,"天然气,油气资源",0,2023-05-26,2026-05-25,724,716,0.989
603194,中力股份,上交所,沪市主板,工程机械,浙江板块,"新能源车,工程机械概念,机器人概念",0,2024-12-24,2026-05-25,340,334,0.9824
603197,保隆科技,上交所,沪市主板,汽车零部件,上海板块,"特斯拉概念,无人驾驶,胎压监测,新能源车,传感器,华为汽车,毫米波概念,小米汽车,低空经济",0,2023-05-26,2026-05-25,724,718,0.9917
603198,迎驾贡酒,上交所,沪市主板,白酒Ⅱ,安徽板块,"酿酒概念,白酒,味蕾经济",0,2023-05-26,2026-05-25,724,716,0.989
603199,九华旅游,上交所,沪市主板,旅游及景区,安徽板块,"旅游酒店,电商概念,央国企改革,旅游概念,文娱消费",0,2023-05-26,2026-05-25,724,712,0.9834
603211,晋拓股份,上交所,沪市主板,汽车零部件,上海板块,"特斯拉概念,智能家居,无人驾驶,机器人概念,毫米波概念",0,2023-05-26,2026-05-25,724,690,0.953
603216,梦天家居,上交所,沪市主板,家居用品,浙江板块,工业互联,0,2023-05-26,2026-05-26,716,682,0.9525
603220,中贝通信,上交所,沪市主板,通信服务,湖北板块,"物联网,锂电池概念,一带一路,5G概念,6G概念,储能概念,激光雷达,F5G概念,CPO概念,算力概念,DeepSeek概念,电池技术,通信技术",0,2023-05-26,2026-05-25,724,695,0.9599
603255,鼎际得,上交所,沪市主板,化学制品,辽宁板块,,0,2023-05-26,2026-05-25,724,716,0.989
603261,*ST立航,上交所,沪市主板,航空装备Ⅱ,四川板块,"航天航空,军工,西部大开发,无人机,机器人概念,可控核聚变,低空经济",1,2023-05-26,2026-05-26,724,606,0.837
603272,*ST联翔,上交所,沪市主板,家居用品,浙江板块,,1,2023-05-26,2026-05-26,724,628,0.8674
603280,南方路机,上交所,沪市主板,工程机械,福建板块,"物联网,核能核电,一带一路,人工智能,工程机械概念,中俄贸易概念,机器人概念,跨境电商,DeepSeek概念",0,2023-05-26,2026-05-25,724,687,0.9489
603281,江瀚新材,上交所,沪市主板,化学制品,湖北板块,有机硅概念,0,2023-05-26,2026-05-25,724,721,0.9959
603288,海天味业,上交所,沪市主板,调味发酵品Ⅱ,广东板块,"超级品牌,调味品概念,味蕾经济",0,2023-05-26,2026-05-25,724,722,0.9972
603312,西典新能,上交所,沪市主板,电网设备,江苏板块,"新能源,锂电池概念,光伏概念,铁路基建,特斯拉概念,新能源车,华为汽车,储能概念,电池技术",0,2024-01-11,2026-05-25,569,555,0.9754
603319,美湖股份,上交所,沪市主板,汽车零部件,湖南板块,"特斯拉概念,无人驾驶,华为概念,新能源车,激光雷达,汽车热管理,机器人概念,PEEK材料概念,飞行汽车(eVTOL),低空经济,人形机器人",0,2023-05-26,2026-05-25,724,710,0.9807
603322,超讯通信,上交所,沪市主板,通信服务,广东板块,"物联网,移动支付,智慧城市,充电桩,5G概念,人工智能,华为概念,边缘计算,国产芯片,数据中心,智慧灯杆,AIGC概念,算力概念,数据要素,多模态AI,DeepSeek概念,AI应用,通信技术",0,2023-05-26,2026-05-25,724,695,0.9599
603350,安乃达,上交所,沪市主板,电机Ⅱ,上海板块,"传感器,机器人概念,轮毂电机",0,2024-07-03,2026-05-25,457,441,0.965
603352,至信股份,上交所,沪市主板,汽车零部件,重庆板块,"次新股,新能源车,机器人概念",0,2026-01-15,2026-05-25,83,81,0.9759
603355,莱克电气,上交所,沪市主板,小家电,江苏板块,"智能家居,新能源车,网红经济",0,2023-05-26,2026-05-25,724,717,0.9903
603358,华达科技,上交所,沪市主板,汽车零部件,江苏板块,"特斯拉概念,胎压监测,新能源车,中芯概念",0,2023-05-26,2026-05-26,720,706,0.9806
603376,大明电子,上交所,沪市主板,汽车零部件,浙江板块,"次新股,无人驾驶,新能源车",0,2025-11-06,2026-05-25,131,129,0.9847
603380,易德龙,上交所,沪市主板,消费电子,江苏板块,"医疗器械概念,5G概念,新能源车,数据中心,机器人概念,通信技术",0,2023-05-26,2026-05-25,724,708,0.9779
603383,顶点软件,上交所,沪市主板,软件开发,福建板块,"互联网金融,国产软件,AI智能体,区块链,知识产权,数字经济,信创,数据确权,数据要素",0,2023-05-26,2026-05-25,724,706,0.9751
603396,金辰股份,上交所,沪市主板,光伏设备,辽宁板块,"光伏概念,HJT电池,TOPCon电池",0,2023-05-26,2026-05-25,724,708,0.9779
603406,天富龙,上交所,沪市主板,化学纤维,江苏板块,"节能环保,次新股,参股银行,婴童概念",0,2025-08-08,2026-05-25,189,187,0.9894
603489,八方股份,上交所,沪市主板,电机Ⅱ,江苏板块,"共享经济,轮毂电机",0,2023-05-26,2026-05-25,724,707,0.9765
603496,恒为科技,上交所,沪市主板,计算机设备,上海板块,"互联网服务,智能电网,国产软件,5G概念,华为概念,数字孪生,数据安全,机器人概念,信创,算力概念,新型工业化,通信技术",0,2023-05-26,2026-05-26,716,665,0.9288
603556,海兴电力,上交所,沪市主板,电网设备,浙江板块,"物联网,智能电网,充电桩,一带一路,电网概念",0,2023-05-26,2026-05-25,724,718,0.9917
603590,康辰药业,上交所,沪市主板,生物制品,北京板块,"创投,单抗概念,创新药,病原体防治",0,2023-05-26,2026-05-25,724,714,0.9862
603596,伯特利,上交所,沪市主板,汽车零部件,安徽板块,"创投,无人驾驶,新能源车,飞行汽车(eVTOL),人形机器人",0,2023-05-26,2026-05-25,724,716,0.989
603618,杭电股份,上交所,沪市主板,电网设备,浙江板块,"锂电池概念,风能,石墨烯,5G概念,特高压,碳交易,抽水蓄能,光通信模块,电网概念,电池技术,通信技术,光纤概念",0,2023-05-26,2026-05-25,724,680,0.9392
603657,春光科技,上交所,沪市主板,家电零部件Ⅱ,浙江板块,小米概念,0,2023-05-26,2026-05-25,724,680,0.9392
603658,安图生物,上交所,沪市主板,医疗器械,河南板块,"医疗器械概念,体外诊断概念,精准诊断",0,2023-05-26,2026-05-25,724,721,0.9959
603659,璞泰来,上交所,沪市主板,电池,上海板块,"锂电池概念,长江三角,特斯拉概念,新能源车,固态电池,储能概念,PVDF概念,复合集流体,电池技术",0,2023-05-26,2026-05-25,724,710,0.9807
603665,康隆达,上交所,沪市主板,服装家纺,浙江板块,"锂电池概念,医疗器械概念,电池技术",0,2023-05-26,2026-05-25,724,706,0.9751
603666,亿嘉和,上交所,沪市主板,自动化设备,江苏板块,"智能电网,养老概念,充电桩,无人机,华为概念,机器人概念,ChatGPT概念,多模态AI,低空经济,人形机器人,DeepSeek概念,腾讯云,电网概念",0,2023-05-26,2026-05-25,724,691,0.9544
603678,火炬电子,上交所,沪市主板,军工电子Ⅱ,福建板块,"军工,创投,新材料,核能核电,5G概念,军民融合,小米概念,MLCC,半导体概念,商业航天,被动元件概念,通信技术",0,2023-05-26,2026-05-25,724,713,0.9848
603685,晨丰科技,上交所,沪市主板,光学光电子,浙江板块,"LED概念,光伏概念,风能,PCB,绿色电力",0,2023-05-26,2026-05-25,724,708,0.9779
603722,阿科力,上交所,沪市主板,化学制品,江苏板块,"新材料,燃料电池概念,虚拟现实,电池技术",0,2023-05-26,2026-05-25,724,713,0.9848
603813,*ST原尚,上交所,沪市主板,物流,广东板块,"燃料电池概念,氢能源,电池技术",1,2023-05-26,2026-05-26,724,591,0.8163
603816,顾家家居,上交所,沪市主板,家居用品,浙江板块,"电商概念,智能家居",0,2023-05-26,2026-05-26,721,717,0.9945
603826,坤彩科技,上交所,沪市主板,非金属材料Ⅱ,福建板块,"新材料,锂电池概念,钛白粉概念,电池技术",0,2023-05-26,2026-05-25,724,709,0.9793
603860,中公高科,上交所,沪市主板,工程咨询服务Ⅱ,北京板块,"大数据,央国企改革,微盘股",0,2023-05-26,2026-05-25,724,700,0.9669
603867,新化股份,上交所,沪市主板,化学制品,浙江板块,化工原料,0,2023-05-26,2026-05-25,724,717,0.9903
603868,飞科电器,上交所,沪市主板,小家电,上海板块,,0,2023-05-26,2026-05-25,724,719,0.9931
603895,天永智能,上交所,沪市主板,专用设备,上海板块,"锂电池概念,人工智能,数字孪生,新能源车,固态电池,华为汽车,钠离子电池,储能概念,机器人概念,新型工业化,电池技术",0,2023-05-26,2026-05-25,724,697,0.9627
603978,深圳新星,上交所,沪市主板,金属新材料,广东板块,"新材料,深圳特区,锂电池概念,氟化工概念,军民融合,PVDF概念,电池技术",0,2023-05-26,2026-05-25,724,684,0.9448
603992,松霖科技,上交所,沪市主板,家居用品,福建板块,"智能家居,C2M概念,机器人概念",0,2023-05-26,2026-05-25,724,707,0.9765
605058,澳弘电子,上交所,沪市主板,元件,江苏板块,"一带一路,工业互联,PCB,新能源车,卫星互联网,商业航天,新型工业化",0,2023-05-26,2026-05-25,724,708,0.9779
605086,龙高股份,上交所,沪市主板,非金属材料Ⅱ,福建板块,"稀缺资源,央国企改革,资源开采概念",0,2023-05-26,2026-05-25,724,691,0.9544
605088,冠盛股份,上交所,沪市主板,汽车零部件,浙江板块,"锂电池概念,贬值受益,新能源车,固态电池,华为汽车,储能概念,机器人概念,人形机器人,电池技术",0,2023-05-26,2026-05-25,724,708,0.9779
605128,上海沿浦,上交所,沪市主板,汽车零部件,上海板块,华为汽车,0,2023-05-26,2026-05-25,724,713,0.9848
605133,嵘泰股份,上交所,沪市主板,汽车零部件,江苏板块,"特斯拉概念,新能源车,工业母机,机器人概念",0,2023-05-26,2026-05-25,724,697,0.9627
605258,协和电子,上交所,沪市主板,元件,江苏板块,PCB,0,2023-05-26,2026-05-25,724,695,0.9599
605488,福莱新材,上交所,沪市主板,塑料,浙江板块,"节能环保,新材料,智能穿戴,苹果概念,一带一路,华为概念,传感器,降解塑料,无线充电,机器人概念,AI手机,人形机器人,消费电子概念",0,2023-05-26,2026-05-25,724,685,0.9461
605566,福莱蒽特,上交所,沪市主板,化学制品,浙江板块,光伏概念,0,2023-05-26,2026-05-25,724,710,0.9807
920003,中诚咨询,北交所,北交所,工程咨询服务Ⅱ,江苏板块,次新股,0,2025-11-07,2026-05-26,131,130,0.9924
920005,鼎佳精密,北交所,北交所,消费电子,江苏板块,"次新股,汽车热管理,AI眼镜",0,2025-07-31,2026-05-26,196,195,0.9949
920018,宏远股份,北交所,北交所,电网设备,辽宁板块,"次新股,新能源车,特高压,电网概念",0,2025-08-20,2026-05-26,182,181,0.9945
920026,卓兆点胶,北交所,北交所,专用设备,江苏板块,"光伏概念,苹果概念,新能源车,半导体概念,机器人概念,AI眼镜",0,2023-10-19,2026-05-26,629,626,0.9952
920035,精创电气,北交所,北交所,自动化设备,江苏板块,"次新股,冷链物流",0,2025-12-02,2026-05-26,114,113,0.9912
920046,亿能电力,北交所,北交所,电网设备,江苏板块,储能概念,0,2023-05-26,2026-05-26,725,720,0.9931
920047,诺思兰德,北交所,北交所,生物制品,北京板块,"重组蛋白,创新药",0,2023-05-26,2026-05-26,725,725,1.0
920050,爱舍伦,北交所,北交所,医疗器械,江苏板块,"次新股,医疗器械概念",0,2026-01-21,2026-05-26,80,79,0.9875
920055,隆源股份,北交所,北交所,汽车零部件,浙江板块,"次新股,特斯拉概念,新能源车,小米汽车",0,2026-03-31,2026-05-26,37,36,0.973
920060,万源通,北交所,北交所,元件,江苏板块,"特斯拉概念,无人驾驶,PCB,新能源车,汽车热管理,机器人概念,光通信模块,AIPC,通信技术",0,2024-11-19,2026-05-26,366,365,0.9973
920078,族兴新材,北交所,北交所,金属新材料,湖南板块,"次新股,新材料,华为汽车",0,2026-03-18,2026-05-26,46,44,0.9565
920086,科马材料,北交所,北交所,汽车零部件,浙江板块,"次新股,一带一路,新能源车,华为汽车",0,2026-01-16,2026-05-26,83,82,0.988
920092,汉鑫科技,北交所,北交所,IT服务Ⅱ,山东板块,"智慧城市,人工智能,无人驾驶,工业互联,互联医疗,华为概念,智慧政务,车联网(车路云),东数西算,信创,算力概念,财税数字化,AI应用",0,2023-05-26,2026-05-26,725,716,0.9876
920101,志高机械,北交所,北交所,工程机械,浙江板块,"次新股,一带一路,中俄贸易概念",0,2025-08-14,2026-05-26,186,185,0.9946
920110,雷特科技,北交所,北交所,其他电源设备Ⅱ,广东板块,"LED概念,智能家居",0,2023-05-26,2026-05-26,725,724,0.9986
920111,聚星科技,北交所,北交所,电网设备,浙江板块,"充电桩,新能源车,储能概念",0,2024-11-11,2026-05-26,372,369,0.9919
920112,巴兰仕,北交所,北交所,专用设备,上海板块,"次新股,贬值受益",0,2025-08-28,2026-05-26,176,175,0.9943
920121,江天科技,北交所,北交所,包装印刷,江苏板块,"造纸印刷,次新股",0,2025-12-25,2026-05-26,97,96,0.9897
920177,恒道科技,北交所,北交所,通用设备,浙江板块,"次新股,新能源车",0,2026-04-16,2026-05-26,26,25,0.9615
920187,通领科技,北交所,北交所,汽车零部件,上海板块,"次新股,新能源车,新型工业化",0,2026-03-05,2026-05-26,55,54,0.9818
920199,倍益康,北交所,北交所,小家电,四川板块,"西部大开发,医疗器械概念,鸿蒙概念,机器人概念,谷子经济",0,2023-05-26,2026-05-26,725,717,0.989
920239,长虹能源,北交所,北交所,电池,四川板块,"锂电池概念,西部大开发,央国企改革,固态电池,人形机器人,电池技术",0,2023-05-26,2026-05-26,725,723,0.9972
920284,灵鸽科技,北交所,北交所,专用设备,江苏板块,"锂电池概念,固态电池,电池技术",0,2023-12-19,2026-05-26,586,577,0.9846
920396,常辅股份,北交所,北交所,自动化设备,江苏板块,"核能核电,工业互联,可控核聚变",0,2023-05-26,2026-05-26,725,721,0.9945
920509,同惠电子,北交所,北交所,通用设备,江苏板块,"华为概念,第三代半导体,华为海思",0,2023-05-26,2026-05-26,725,720,0.9931
920570,坤博精工,北交所,北交所,通用设备,浙江板块,"光伏概念,风能,海工装备,半导体概念,工业母机,机器人概念,新型工业化",0,2023-11-23,2026-05-26,604,597,0.9884
920592,华信永道,北交所,北交所,软件开发,北京板块,"国产软件,智慧政务,数字经济,信创,智谱AI概念",0,2023-07-10,2026-05-26,696,685,0.9842
920640,富士达,北交所,北交所,通信设备,陕西板块,"军工,西部大开发,央国企改革,量子科技,5G概念,华为概念,卫星互联网,商业航天,6G概念,毫米波概念,低空经济,铜缆高速连接,通信技术",0,2023-05-26,2026-05-26,725,724,0.9986
920693,阿为特,北交所,北交所,通用设备,上海板块,"医疗器械概念,半导体概念,液冷概念",0,2023-10-27,2026-05-26,623,615,0.9872
920725,惠丰钻石,北交所,北交所,通用设备,河南板块,"半导体概念,第三代半导体,培育钻石",0,2023-05-26,2026-05-26,725,719,0.9917
920748,路桥信息,北交所,北交所,IT服务Ⅱ,福建板块,"物联网,云计算,智慧城市,大数据,央国企改革,人工智能,车联网(车路云),数字经济,多模态AI,低空经济,DeepSeek概念",0,2023-08-16,2026-05-26,669,657,0.9821
920779,武汉蓝电,北交所,北交所,电池,湖北板块,"锂电池概念,国产软件,固态电池,电池技术",0,2023-06-01,2026-05-26,721,717,0.9945
920799,艾融软件,北交所,北交所,软件开发,上海板块,"互联网金融,国产软件,虚拟现实,人工智能,华为概念,数字货币,国产芯片,鸿蒙概念,华为欧拉,跨境支付,信创",0,2023-05-26,2026-05-26,725,719,0.9917
920839,万通液压,北交所,北交所,工程机械,山东板块,"军工,新能源车,机器人概念",0,2023-05-26,2026-05-26,725,724,0.9986
920953,国子软件,北交所,北交所,IT服务Ⅱ,山东板块,"物联网,云计算,国产软件,人工智能,生物识别,数据安全,信创,AI应用",0,2023-08-23,2026-05-26,664,658,0.991
920971,天马新材,北交所,北交所,非金属材料Ⅱ,河南板块,"新材料,锂电池概念,半导体概念,固态电池,高带宽内存,玻璃基板,电池技术",0,2023-05-26,2026-05-26,725,720,0.9931
920976,XD视声智,北交所,北交所,计算机设备,广东板块,"智慧城市,安防概念,智能家居",0,2023-09-01,2026-05-26,657,652,0.9924
